"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ERCO,"4/6/2026 1 a.m. CDT",41809,42220,41152,-657
ERCO,"4/6/2026 2 a.m. CDT",40626,41042,39866,-759
ERCO,"4/6/2026 3 a.m. CDT",40096,40393,39303,-793
ERCO,"4/6/2026 4 a.m. CDT",39967,40276,39164,-803
ERCO,"4/6/2026 5 a.m. CDT",40663,40821,39857,-805
ERCO,"4/6/2026 6 a.m. CDT",42221,42730,41376,-844
ERCO,"4/6/2026 7 a.m. CDT",44897,45561,44204,-693
ERCO,"4/6/2026 8 a.m. CDT",46511,47429,46145,-366
ERCO,"4/6/2026 9 a.m. CDT",47250,48104,47007,-243
ERCO,"4/6/2026 10 a.m. CDT",47700,48378,48107,408
ERCO,"4/6/2026 11 a.m. CDT",47647,48557,48098,451
ERCO,"4/6/2026 12 p.m. CDT",47576,48227,48131,555
ERCO,"4/6/2026 1 p.m. CDT",47710,48257,48268,558
ERCO,"4/6/2026 2 p.m. CDT",48214,48648,48771,558
ERCO,"4/6/2026 3 p.m. CDT",48898,49193,49456,558
ERCO,"4/6/2026 4 p.m. CDT",49826,49883,50382,557
ERCO,"4/6/2026 5 p.m. CDT",51074,50715,51578,504
ERCO,"4/6/2026 6 p.m. CDT",52199,51621,52487,289
ERCO,"4/6/2026 7 p.m. CDT",52314,51506,52004,-310
ERCO,"4/6/2026 8 p.m. CDT",51261,51018,50542,-719
ERCO,"4/6/2026 9 p.m. CDT",51149,51303,50352,-796
ERCO,"4/6/2026 10 p.m. CDT",49825,50258,49072,-753
ERCO,"4/6/2026 11 p.m. CDT",47545,47829,46747,-798
ERCO,"4/7/2026 12 a.m. CDT",45287,45120,44526,-760
ERCO,"4/7/2026 1 a.m. CDT",43318,43268,42560,-757
ERCO,"4/7/2026 2 a.m. CDT",41996,42132,41329,-667
ERCO,"4/7/2026 3 a.m. CDT",41239,41449,40483,-756
ERCO,"4/7/2026 4 a.m. CDT",41014,41194,40279,-734
ERCO,"4/7/2026 5 a.m. CDT",41582,41737,40939,-642
ERCO,"4/7/2026 6 a.m. CDT",43427,43441,43006,-421
ERCO,"4/7/2026 7 a.m. CDT",46324,46347,46101,-222
ERCO,"4/7/2026 8 a.m. CDT",47494,48124,47279,-215
ERCO,"4/7/2026 9 a.m. CDT",47299,48106,47336,37
ERCO,"4/7/2026 10 a.m. CDT",47263,48214,47544,281
ERCO,"4/7/2026 11 a.m. CDT",47412,48139,47911,499
ERCO,"4/7/2026 12 p.m. CDT",47644,48029,47976,332
ERCO,"4/7/2026 1 p.m. CDT",47568,48261,47631,63
ERCO,"4/7/2026 2 p.m. CDT",48156,48725,48282,126
ERCO,"4/7/2026 3 p.m. CDT",48840,49433,49027,188
ERCO,"4/7/2026 4 p.m. CDT",49751,50163,50054,303
ERCO,"4/7/2026 5 p.m. CDT",50745,50856,50911,166
ERCO,"4/7/2026 6 p.m. CDT",51207,51563,51294,87
ERCO,"4/7/2026 7 p.m. CDT",50987,51375,50734,-252
ERCO,"4/7/2026 8 p.m. CDT",50895,51039,50446,-449
ERCO,"4/7/2026 9 p.m. CDT",51500,51491,51028,-472
ERCO,"4/7/2026 10 p.m. CDT",49867,50332,49321,-546
ERCO,"4/7/2026 11 p.m. CDT",47007,48060,46345,-661
ERCO,"4/8/2026 12 a.m. CDT",44739,45606,43938,-799
ERCO,"4/8/2026 1 a.m. CDT",42926,43251,42125,-800
ERCO,"4/8/2026 2 a.m. CDT",41519,41581,40955,-563
ERCO,"4/8/2026 3 a.m. CDT",40809,40557,40012,-797
ERCO,"4/8/2026 4 a.m. CDT",40458,40152,39654,-804
ERCO,"4/8/2026 5 a.m. CDT",40996,40515,40192,-804
ERCO,"4/8/2026 6 a.m. CDT",42667,42226,41863,-804
ERCO,"4/8/2026 7 a.m. CDT",45553,44990,44740,-813
ERCO,"4/8/2026 8 a.m. CDT",46595,46312,45830,-765
ERCO,"4/8/2026 9 a.m. CDT",47162,46843,46877,-285
ERCO,"4/8/2026 10 a.m. CDT",47785,47745,47528,-256
ERCO,"4/8/2026 11 a.m. CDT",48528,48451,48767,240
ERCO,"4/8/2026 12 p.m. CDT",49396,49109,49787,391
ERCO,"4/8/2026 1 p.m. CDT",50361,49929,50752,391
ERCO,"4/8/2026 2 p.m. CDT",51794,51022,52185,391
ERCO,"4/8/2026 3 p.m. CDT",52917,52082,53308,391
ERCO,"4/8/2026 4 p.m. CDT",54380,53327,54771,391
ERCO,"4/8/2026 5 p.m. CDT",55892,54567,56281,389
ERCO,"4/8/2026 6 p.m. CDT",56927,55073,57216,289
ERCO,"4/8/2026 7 p.m. CDT",56746,54609,56782,36
ERCO,"4/8/2026 8 p.m. CDT",55514,53291,55224,-290
ERCO,"4/8/2026 9 p.m. CDT",54475,52976,54085,-390
ERCO,"4/8/2026 10 p.m. CDT",53241,51778,52862,-379
